Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Swedish Orphan Biovitrum;SOBI.ST;Swedish Orphan Biovitrum;SOBI_SS_Equity
Synopsys;SNPS;Synopsys;SNPS_US_Equity
Synsam;SYNSAM.ST;Synsam;SYNSAM_SS_Equity
Systemair;SYSR.ST;Systemair;SYSR_SS_Equity
TE Connectivity;TEL;TE Connectivity;TEL_US_Equity
TF Bank;TFBANK.ST;TF Bank;TFBANK_SS_Equity
TSMC ADR;TSMC;TSMC ADR;TSMC_US_Equity
TUI;TUI1.DE;TUI;TUI1_GY_Equity
Take-Two;TTWO;Take-Two;TTWO_US_Equity
Takeda Pharmaceutical ADR;TAK;Takeda Pharmaceutical ADR;TAK_US_Equity
Talenom;TNOM.HE;Talenom;TNOM_FH_Equity
Teladoc Health;TDOC;Teladoc Health;TDOC_US_Equity
